Font,Mission_statement
Myriad,Leading as a business that is a champion for governance  financial control and balanced risk taking sector5
Myriad,We work to ensure that everyone at every level of government understands that municipal governments are accountable to their citizens and are trusted to act in the best interest of their respective communities  AUMA works to engage our members and develop strategic partnerships between all orders of government to meet municipal needs Vision  AUMA is a change agent that enables municipalities to be a fully engaged order of government with the capacity to build thriving communities   Mission  AUMA is the voice of urban municipalities and provides visionary leadership  solutions based advocacy  and service excellence   Core Values  EXCELLENCE              Provide municipal expertise through timely  consistent and accurate services                                        continuous improvement and innovation  MEMBER FOCUS         Offer resources and solutions tailored to needs of our members    ACCOUNTABILITY        Act with integrity and transperancy    COLLABORATION         Establish networks and partnerships through which we engage and respond    COMMUNICATION        Inform  educate and listen to members and other stakeholders   sector5
Myriad,We help innovative companies leverage their customers to build far better products  We firmly believe in technology s ability to make everyone s life better and we enjoy getting to play a role in helping tomorrow s products succeed   sector3
Myriad,RiT Tech is a leading provider of converged IT infrastructure management and connectivity solutions  RiT offers a platform that provides a unified way to manage converged systems and services to improve network utilization  streamline infrastructure operations  reduce network operation cost  optimize future investments and enhance data security  RiT s connectivity solutions includes IIM   Intelligent Infastructure Management  high performance end to end structured cabling solutions  Deployed around the world in data centers  large corporations  government agencies  financial institutions  telecommunications  airport authorities  healthcare organizations and educational facilities  Tradition of Innovation RiT holds many novel patents and over the years has released groundbreaking solutions that have radically changed the ability of organizations to control and optimize their network infrastructure  and have since become industry norm  We continue to develop and manufacture unique innovative network infrastructure solutions and to shape the future of the network  RiT is a full member of the international standard organizations that develop standards in the field of information technology     Premium Quality The RiT range of products and solutions is developed  engineered and assembled onsite at corporate headquarters  The result is a product range of unwavering quality that has made RiT a premium international brand   International Presence RiT has a local presence in eight countries and four continents  with a wide network of established partners and strong OEM partnerships that enable us to deploy our products and solutions almost anywhere in the world  Our vertically integrated manufacturing translates to a flat supply chain that ensures rapid delivery times to customers and partners  All our local offices employ technical staff trained at headquarters  to ensure that our customers receive optimal deployment and support services  The Shortest Route from Customer to Engineer Maintaining development  engineering and support functions at corporate headquarters has enabled RiT to be highly accessible and responsive to its customers  our international support team answers calls within hours and our engineers and R D staff are highly tuned to market demands  As a result  we are quick to adapt our products to suit customer requirements and to develop new products that respond effectively to market needs  such as fiber optic cabling solutions supporting 100 Gbps     sector3
Myriad,Our mission is to support cultural awareness  service based learning and sustainable development projects through experiential and responsible volunteer travel programs that inspire local and global service  sector3
Myriad,As a non departmental public body of the Scottish Government  our role is to make sure that the environment and human health are protected  to ensure that Scotland s natural resources and services are used as sustainably as possible and contribute to sustainable economic growth  sector5
Myriad,Ethics  Accountability   our Responsibilities as a Global Civil Servant    Accountability         Integrity         Transparency         Mutual respect         Professionalism         Results orientation   sector5
Myriad, Mission   We work to ensure that our customers can quickly and comfortably travel great distances  and thus be mobile  meet more often  work successfully and see the world in all its diversity We give our customers a choice through an extensive route network and different carriers operating within our Group  from low cost to premium class airlines  Our Vision  Our goal is to be the undisputed leader in domestic and international air travel in Russia and one of the best airlines in the world  combining dynamic development  high reliability and quality of service  Values  customer first Results for shareholders Teamwork Social responsibility sector3
Myriad,mission  The purity of water is important to people everywhere  PureLine is dedicated to preserving and protecting the integrity of vital water resources and uses across the nation and around the world with careful research  state of the art engineering and quality manufacturing of innovative Chlorine Dioxide generations technologies designed to disinfect water to exacting standards  sector5
Myriad,mission Henry Ford College transforms lives and builds better futures by providing outstanding education  As a student centered  evidence based college  our success is measured by the success of our students  We empower learners through the development of independent  critical and creative thinking  and we foster diversity  tolerance  understanding  and acceptance to prepare learners to succeed in a global society  We anticipate and respond to the needs of our stakeholders  exceed their expectations and serve the public good  values  passion teaching and learning   exploring diverse perspectives and ideas   creating a student centered environment   transforming lives through continuous learning  and  excellence in all that we do  integrity accountability   responsible stewardship   ethical conduct   honest dialogue  and  sustainable practices  ingenuity  being agile  flexible  and responsive   rewarding discovery  creativity  and innovation   collecting  evaluating  and acting on evidence   thinking critically  and  continuously reimagining the future  respect   collaborate and rely on teamwork   celebrate diversity and inclusiveness   maintain transparent practices   show compassion and empathy  and  are engaged and committed to our shared work  sector5
Myriad,MissionWe seek to deliver the highest degree of quality products and service excellence to our customers through value creation and innovation  Vision Our vision is to be an outstanding worldwide solutions provider for the industries that we operate in  Company Values Our company values can be summarised by 1 I and 7 C s  Initiative Competency Communication Competitive Collaboration Consistency Creativity Conscientiousness Commitment sector4
Myriad,Consolidated payments Comprehensive breadth of products Customer centric design and development Transparent pricing Responsive support Our Voice Our tone is unique in that we are friendly  knowledgeable and honest  We speak casually yet intelligently with a little big of edge  The corporate voice isn t who we are  We don t pitch  we start conversations  Our Message We give businesses a simple way to take payments by keeping all your transactions in one place  Whether you want to take mobile  in store or eCommerce payments  all your reporting and support will be in one place  This means more transparency and flexibility for your business  sector3
Myriad,The WorldFish mission is to strengthen livelihoods and enhance food and nutrition security by improving fisheries and aquaculture  We pursue this through research partnerships focused on helping those who stand to benefit the most poor producers and consumers  women and children  sector5
Myriad,Our mission The University of Saskatchewan advances the aspirations of the people of the province and beyond through interdisciplinary and collaborative approaches to discovering  teaching  sharing  integrating  preserving  and applying knowledge  including the creative arts  to build a rich cultural community  An innovative  accessible  and welcoming place for students  educators  and researchers from around the world  we serve the public good by connecting discovery  teaching  and outreach  by promoting diversity and meaningful change  and by preparing students for enriching careers and fulfilling lives as engaged global citizens   Our vision We will contribute to a sustainable future by being among the best in the world in areas of special and emerging strengths  through outstanding research  scholarly  and artistic work that addresses the needs and aspirations of our region and the world  and through exceptional teaching and engagement  We will be an outstanding institution of research  learning  knowledge keeping  reconciliation  and inclusion with and by Indigenous peoples and communities   Our principles and values A belief in principles vital to our institution and a commitment to key values ways of conducting ourselves constitute the raison d  tre of our mission and vision  The University of Saskatchewan community believes in the following principles  Academic freedom Collaboration Commitment to community Different ways of knowing  learning  and being Diversity  equality  and human dignity Excellence A healthy work and learning environment Innovation  curiosity  and creativity Openness  transparency  and accountability Reconciliation Sustainability The University of Saskatchewan community is committed to acting in accordance with the following values  Collegiality Fairness and equitable treatment Inclusiveness Integrity  honesty  and ethical behaviour Respect  sector5
Myriad,At Columbia College  a uniquely designed Core Curriculum of philosophy  history  politics  literature  art  music  science and writing provides every student with a comprehensive and truly transformational understanding of modern civilization  The distinctively personal and highly interactive seminar format of the Core courses develops the essential ability for engagement in an increasingly diverse and rapidly changing world  Regardless of ensuing life choices  the Core Curriculum forms the foundation for a lifetime of continued learning  Columbia students also have the exclusive opportunity to enhance their chosen studies through the unparalleled energy  vitality and multicultural variety of New York City  No other college in America offers students the integration of the highest level of educational excellence in a community with an incomparable offering of professional  career and life experiences  There is no more effective and dynamic preparation for the future than studying at Columbia College in the heart of the world s most cosmopolitan city  sector5
Myriad,Our relationships with our clients and candidates are key and are underpinned by our five values that drive our business strategy  our behaviour and our relationships  both internally and externally  sector5
Myriad,Vuzix is a leading supplier of Smart Glasses  Augmented Reality  AR  and Virtual Reality  VR  technologies and products for the consumer and enterprise markets  The Company s products include personal display and wearable computing devices that offer users a portable high quality viewing experience  provide solutions for mobility  wearable displays and virtual and augmented reality  Vuzix holds 49 patents and 43 additional patents pending and numerous IP licenses in the Video Eyewear field  sector2
Myriad,Ambius is the global expert in providing interior landscaping for almost any environment  from boutique hotels to shopping centers and international corporate headquarters  hospitals  schools and even cruise ships  Our vision is to enhance the total workplace by engaging all the five senses to create harmonious environments that are more creative and productive  We believe an Ambius experience can stimulate people s senses that inspire ideas  improve health and lift moods and make your colleagues more happy  healthy and productive  sector3
Myriad,Accelerating innovation velocity  A culture of exploration  Igniting creativity in young people  Driving greater diversity and inclusion  another version To move the web forward and give web designers and developers the best tools and services in the world  sector4
Futura,Bring inspiration and innovation to every athlete in the world sector2
Futura,FedEx Corporation will produce superior financial returns for its shareowners by providing high value added logistics  transportation and related business services through focused operating companies  Customer requirements will be met in the highest quality manner appropriate to each market segment served  FedEx will strive to develop mutually rewarding relationships with its team members  partners and suppliers  Safety will be the first consideration in all operations  Corporate activities will be conducted to the highest ethical and professional standards  sector3
Futura,Our mission is to be the premier marketer and supplier of Red Bull in Asia  Europe  and other parts of the globe  We will achieve this mission by building long term relationships with the people who can make it become a reality  Red Bull GmbH are dedicated to upholding Red Bull standards  while maintaining the leadership position in the energy drinks category when delivering superior customer service in a highly efficient and profitable manner  We create a culture where employees share best practices  dedicated to coaching and developing our organization as an employer of choice   To Spread Our Wings Over The World  sector3
Futura,Sell more pizza  have more fun  Number one in people  number one in pizza  Treat people as you d like to be treated  Produce the best for less  Measure  manage and share what s important  Think big and grow  Incentivise what you want to change  Set the bar high  train  never stop learning  Promote from within  We are not ordinary  we are exceptional  sector3
Futura,Corporate Social Responsibility is one of Gucci s core values and is at the base of the brand s identity  We recognize that the philosophy of  Sustainable Value  is at the heart of our management policies and our corporate conduct  which means that we have implemented a process to integrate social  environmental  ethical  human rights and consumer concerns into our business operations  Our business model is designed to provide our customers with the highest quality products  which are made in Italy in a responsible manner  Together we are committed to raising awareness and creating a culture of responsiveness within the Gucci system   employees  shareholders  customers  suppliers  subcontractors  commercial and financial partners  local communities  institutions  trade associations  trade unions   by promoting a Social and Environmental Responsibility Policy that values the following aspects  Business ethics  Respect for human rights  Respect for workers  rights and equal opportunities  Respect for and protection of workers  health and safety  Respect for and enhancement of professional skills  Valuing diversity  culture  gender  disability   Cooperation and solidarity promotion  Respect for and protection of the environment and biodiversity  Respect for stakeholders  Supplier involvement  Gucci is therefore committed to implementing a Social and Environmental Responsibility Management System that goes  beyond compliance  with the law  This involves the adoption of the most important international standards  policies and procedures for the effective implementation  monitoring and continual improvement of the principles of the CSR Policy  both internally and along its supply chain  sector5
Futura,The mission of the LVMH group is to represent the most refined qualities of Western  Art de Vivre  around the world  LVMH must continue to be synonymous with both elegance and creativity  Our products  and the cultural values they embody  blend tradition and innovation  and kindle dream and fantasy  In view of this mission  five priorities reflect the fundamental values shared by all Group stakeholders Be creative and innovate  Aim for product excellence  Bolster the image of our brands with passionate determination  Act as entrepreneurs  Strive to be the best in all we do  sector5
Futura,Saving lives and making life better through well being solutions  It s the GOJO Purpose  and it drives innovation in hand hygiene and skin care  To learn more about GOJO  make a selection from the links below  GOJO Industries  Inc  is the leading global producer and marketer of skin health and hygiene solutions for away from home settings  Our broad portfolio includes hand cleaning  handwashing  hand sanitizing and skin care formulas under the GOJO   PURELL and PROVON  brand names  GOJO formulas use the latest advances in the science of skin care  GOJO is known for state of the art dispensing technology  engineered with attention to design and functionality  Our complete programs promote healthy behaviors for hand hygiene  skin care and  in critical environments  compliance  In business since 1946  GOJO has a history of innovation in the field of skin care  Notable are the inventions of GOJO Original Formula waterless heavy duty hand cleaner and PURELL  America s  1 instant hand sanitizer  GOJO conducts scientific outcome studies with its products in real world settings  Our track record of leadership is supported with proven results  GOJO is a privately held company headquartered in Akron  Ohio  with facilities in North America  South America  Europe and Asia  The GOJO Story  Making Life Better The GOJO story began in 1946 with two people  founders Goldie and Jerry Lippman  and their ingenuity  inventiveness and compassion for others  Today  their solid foundation continues to evolve into new ways to make life better for people around the world through skin health and hygiene solutions   Everything I know  I learned from someone else     Jerry Lippman on the importance of lifelong learning The Spirit of Discovery Begins  Goldie Lippman worked at a rubber factory during World War II  After a hard day s work  it was nearly impossible for her and her co workers to remove the graphite  tar and carbon black from their hands  They used chemicals like benzene to remove the soils  but it was unsafe and irritated their skin  It was this workplace problem that set Jerry Lippman on a quest to find a safer  gentler solution  The Invention of GOJO   Jerry learned about a heavy duty hand cleaner that removed difficult soils  and started selling it to Goldie s co workers  They liked the hand cleaner  but not the fact that it required washing twice  once with the cleaner  then with soap and water  In search of a simpler solution  Jerry collaborated with Professor Clarence Cook from Kent State University  Together  they invented a hand cleaner that cut through the tough soils  safely removed them from hands and rinsed off easily  Jerry and Goldie first sought the name  GoGo  for their new innovation  In addition to being Goldie s nickname  they thought  Make dirt go with GoGo  would be a memorable slogan  However  because the name was already taken by another business  they settled on their second choice  GOJO  with the  G  and  J  standing for Goldie and Jerry  Early Dispenser Innovation  After the war  Jerry and Goldie turned their full attention to marketing GOJO Hand Cleaner  Jerry mixed and bottled it at night and sold it from the back of his car each day  Goldie managed purchasing and accounting for the growing business  With a natural instinct to listen to customers  Jerry soon learned that garage owners thought that his product was too expensive to buy for workers  Observing workers as they washed  he discovered that they were using much more hand cleaner than was needed  That insight led Jerry to develop the first portion control hand cleaner dispenser  for which GOJO was granted a patent in 1952  Establishing Distributor Relationships  GOJO products were used in gas stations across America and sold through auto parts stores  Solid distributor relationships were established through GOJO  Missionary Men   sellers who would load up their cars and travel for as long as it took to sell everything they had  visiting distributors and teaching them how to best demonstrate and sell GOJO Hand Cleaner  Over the next two decades  the GOJO brand came to dominate the heavy duty hand cleaner market  GOJO SANITARY SEALED  Technology  With a talent for marrying formulas and dispensing technology  GOJO introduced its first sanitary refill washroom soap systems in 1983  The systems used portion controlled  SANITARY SEALED refill cartridges  which were a more hygienic alternative to commonly used bar soaps and bulk soap dispensers  This new technology allowed GOJO to expand into the commercial hand cleaning business  GOJO earned a reputation for high quality washroom systems    pleasant  gentle soap formulas and the industry s most reliable dispensing systems  Expansion into New Markets and Countries GOJO began to focus attention on specialized markets like healthcare and foodservice  where handwashing and skin care could have a significant impact on health and well being  A complete line of products for healthcare was introduced under the PROVON  brand name  And grease cutting  antibacterial soaps were developed specifically for foodservice operations  Geographic expansion soon followed  and GOJO added facilities in Europe  Japan and Latin America  where a complete line of products were sold  The Invention of PURELL hand sanitizer An increasingly germ conscious world brought new challenges to GOJO customers  Restaurant operators started to face legal action when foodborne illness cases were traced to hand spread germs  At the same time  healthcare associated infections were identified as a significant risk in hospitals and long term care facilities  Concern grew over how to clean hands when soap and water were unavailable  Prompted by these risks  GOJO scientists revolutionalized hand hygiene by inventing a whole new approach to hand disinfection    and PURELL Instant Hand Sanitizer was born  The invention of PURELL Intant Hand Sanitizer was a turning point for GOJO and for hand hygiene  Realizing the potential to bring well being to people everywhere  GOJO launched PURELL hand sanitizer as a consumer product in the late 1990s  Hand hygiene was suddenly within reach wherever people happened to be  PURELL hand sanitizer soon became a household name    and America s  1 hand sanitizer  Evidence Based Outcome Studies While GOJO scientists realized the significant  positive correlation between hand hygiene and well being  they sought ways to help others understand  This led to the development of a number of scientific outcome studies  conducted in actual work settings  to prove the impact of good hand hygiene practices  Studies in healthcare indicated a reduction in the spread of infection  Studies in schools  offices and military settings showed reductions in absenteeism  Studies in oil refineries demonstrated improved skin condition  Scientific outcome studies provided solid evidence of results achieved  and became an integral part of GOJO market focused solutions  It became clear that hand sanitizers could play a significant role in health and well being  Experts like the Centers for Disease Control and Prevention  the World Health Organization and others acknowledged the value of alcohol based hand sanitizing gels and included them in hand hygiene guidelines for healthcare  schools and other facilities  That  along with the success of PURELL in the consumer world  helped set a new standard  making both handwashing and hand sanitizing common practice in work and public settings  The Spirit of Discovery Continues  GOJO continues to evolve the science of skin care with new forms of technology  Formulations that improve skin condition with regular use Green certified hand cleaners New forms of product  like foam  gel and wipes Dispensing options that include touch free  counter mount and wall mount systems  freestanding hand hygiene stations and personal  wearable systems They are all part of an ever expanding portfolio of products and programs to meet the skin health and hygiene needs of a changing world  While science and technology have evolved  reach has expanded and geographic boundaries have become limitless  GOJO continues to apply the exploratory spirit and concern for well being that were the foundation of the company in 1946  We listen  learn and innovate to find new ways to make life better for people around the world    sector5
Futura,Dolce Gabbana is the new luxury  authentic and unconventional  A style that expresses new forms of elegance  presenting itself as a modern classicism  based on superior sartorial content and creativity   The strong identity of the Dolce Gabbana brand has evolved over the years without ever forgetting its roots  An unmistakable style  which  season after season  combines strong innovation with the Mediterranean flavour of its origins  A brand whose essence lies in its contrasting features   sector5
Futura,OUR MISSION Drexel University fulfills our founder s vision of preparing each new generation of students for productive professional and civic lives while also focusing our collective expertise on solving society s greatest problems  Drexel is an academically comprehensive and globally engaged urban research university  dedicated to advancing knowledge and society and to providing every student with a valuable  rigorous  experiential  technology infused education  enriched by the nation s premier co operative education program  OUR VISION Drexel will be the Philadelphia region s leading university excelling in high quality experiential education  online learning  translational research  technology transfer and business incubation  and urban revitalization  Drexel will use and leverage all of its assets   outstanding faculty  highly motivated students  130 000 alumni  a pragmatic and entrepreneurial culture  co operative education  Drexel e Learning  and our superior location at a major transportation hub   to create an accessible  relevant  and market leading educational and research platform that benefits our diverse community of students  advances our scholarly work  and champions economic development in our region  Drexel will join the ranks of the most impactful and competitive universities in the United States at a time when the nation is clamoring for educational value  jobs  and new ideas for bolstering our economy    sector5
Futura,CARHIRE ie specialise in providing cheap car hire services to customers visiting Ireland  Whether you are hiring a car to drive the Wild Atlantic Way  or simply want the flexibility that only a rent a car can offer  CARHIRE ie offers a fantastic combination of benefits for customers including a huge range of locations around Ireland  a high quality car rental fleet and a focus on the customer experience    sector5
Futura,OUR VALUES Conviviality  entrepreneurship  mutual trust and a strong sense of ethics  these are the foundations upon which we build our values  We try every day to create a work environment that reflects the spirit of our brands   a place where great ideas are shared  tested and realized  For us  creativity is a treasured asset and it rests in the hearts of the people we work with  Without or creative hearts  we have no purpose  OUR CULTURE At The Absolut Company  we believe in always improving  That s no simple task  but we surely enjoy the challenge  We love the speed of acting quickly on feedback as opposed to waiting for things to reach perfection  We promote proactivity and self directedness in everything we do  We believe in momentum and always beginning with the end in mind  For us  everything comes down to purpose and clear communication  both with our consumers and with our coworkers  When our communication is as clear as our vodka  we know we re on the right track  WE INVEST IN PEOPLE People are our biggest assets  This is why we try to lead by example  investing in people who have a passion for progress and who truly want to make a difference  From flexible work arrangements to best in class HR practices and learning schemes  we make sure to invest as much as we can in the development of our people  We believe that the workplace should be like home   a place for family and a place to grow  But for us  that s not even enough  Our passion for progress also extends beyond our immediate family  We are committed to educating others about sustainability challenges and how to marry profit with purpose to make a difference in the world  Our goal is to be a role model  both in our industry and beyond  Ultimately  we want our people to not only enjoy our products  but also be proud of how they have come to life   WE ARE DIVERSE We are a global company  serving over 150 markets  with local roots in Sweden  and a diverse workforce  We believe this drives performance  and that by investing in diversity  we can better attract and retain talent  This is why we facilitate international mobility and have created an environment that embraces cross cultural communication  This is also why we have set ourselves an ambitious goal of a 50 50 gender split among all managers by 2018  implementing mentorship and leadership training programs to ensure we achieve this  At the heart of all this  we believe that true diversity comes from building on the strengths of ourselves as individuals    sector5
Futura,SWISS creates social and economic values for all its target groups with its business model  The strategy of Corporate Responsibility  CR  at SWISS is based on four cornerstones   Aim  CR initiatives reinforce the positive effects of our business activities  Focus  As the national airline  SWISS focuses exclusively on people and activities with close ties to Switzerland  by providing transport services or sharing expertise  Core areas  SWISS focuses on selected  long term partnerships in the fields of corporate  social and ecological responsibility  Foundation  Economic sustainability is the foundation of all CR activities  Values can be created for all target groups only if SWISS is able to remain profitable over the long term  sector3
Futura,To become the number 1 fashion destination for 20 somethings globally  sector3
Futura,The University of Denver Libraries connect students  faculty  staff  and the broader University community to knowledge in all forms  Reflecting the University s mission  we support teaching  research  scholarship  and creative endeavors by providing diverse resources and services for all stages of the information lifecycle  By so doing  we preserve our varied cultural heritage  facilitate lifelong learning  and inspire our students and faculty to question  contemplate  and engage  sector5
Futura,The Mission of Albright College Our mission is to inspire and educate the scholar and leader in each student  building on a strong foundation in the liberal arts and sciences and a commitment to the best of human values  fostering a commitment to a lifetime of service and learning  Our Vision We aspire to be widely known and respected for preparing our graduates to be exceptionally successful in navigating an increasingly complex and uncertain world characterized by continuous and dramatic change  We wish  therefore  to attract students who have the capacity and the desire to be engaged members of a supportive and caring learning community that is rooted in the liberal arts and sciences  includes a selection of well integrated  professional programs  and is characterized by a strong interdisciplinary and collaborative approach to learning  We seek to excel in offering an integrative learning experience that synthesizes theory with practice  promotes critical thinking and effective self expression  and fosters in our students a commitment to a lifetime of service and learning  We challenge our students to cross boundaries and make connections among academic disciplines  campus experiences  and community  We aim to educate individuals of integrity who possess intellectual competencies and personal qualities that will enable them to take up positions of leadership and service whatever their chosen fields and thereby add to the richness  diversity and welfare of our global society  Our Values The values that guide the Albright College community shape both classroom practice and institutional culture  In daily decisions  attitudes  and relationships the entire community models the values  virtues  and skills that should be practiced by educated  discerning citizens of the world  For generations  the words and symbols depicted on the official seal of the college have expressed and sustained those guiding values  including the values implicit in the current college mission statement  Imprinted on the seal are the words Veritas et Justitia  accompanied by the symbols of the lamp of knowledge  the open book  next to a stack of books  and the laurel wreath  The open book affirms the value we place on academic freedom  in which all forms of truth may be pursued with rigor  candor  and openness  free from external restrictions but always subject to inspection  criticism  and modification according to the canons of research and reason  The open book  covering the lamp of knowledge  invites each of us to take up the book personally  light the lamp  and read for ourselves  This lamp of knowledge  with its suggestion of enlightened guidance  thus affirms the value we place on wisdom and understanding as the basis for leadership in life  including leadership in personal  professional  religious and civic affairs  A stack of books rests next to the lamp of knowledge  symbolizing the value we place on the interrelationship and interdependency of all forms of knowledge and on the vital contribution that every person  of whatever background or tradition  can make to the learning enterprise  The phrase  truth and justice  points not only to the value we place on each of these ideals  but also to their mutual connectedness  We affirm that the search for knowledge should not be separated from the search for wise and just solutions in human affairs and in the conservation of the natural world  The combined pursuit of truth and justice means we honor  nurture  and celebrate human diversity in all its forms and call into question whatever negates or endangers the dignity and worth of the human spirit  The laurel wreath suggests the pride that we have in our tradition of liberal arts and sciences learning and in its enduring importance  It symbolizes our desire that the passion for knowledge  wisdom  skill  and virtue  ar te  will serve as the basis for lifelong endeavors and achievements  Finally  we emphasize that these values historically guided our founding in 1856 by the Evangelical Association  later  the Evangelical United Brethren Church  and continue to connect us today to the principles and ideals of higher education of the United Methodist Church  sector5
Futura,The Barbican exists to inspire people to discover and love the arts  We innovate with outstanding artists and performers to create an international programme that crosses art forms  investing in the artists of today and tomorrow    A world class arts and learning organisation  the Barbican pushes the boundaries of all major art forms including dance  film  music  theatre and visual arts  Over 1 1 million people attend Barbican events every year alongside hundreds of artists and performers from across the globe  while our creative learning programme underpins everything we do    sector5
Futura,         Engage children   young people          Support volunteer leaders          Partner church and communities ENGAGING CHILDREN   YOUNG PEOPLE The Boys  Brigade engages with over 50 000 children and young people providing opportunities to meet together in their communities and engage in a range of fun and developmental activities  We believe that empowering children and young people is important and do this by involving them in decision making at all levels of the BB and giving responsibility appropriate to their age and aptitude  The Boys  Brigade enables children and young people to engage with the needs of others  especially other young people  locally  nationally and globally and encouraging them to participate in activities and projects in which they can make a difference  SUPPORTS VOLUNTEER LEADERS The Boys  Brigade is dependent on over 13 000 volunteer leaders who come from all walks of life to share their time  skills  passion and faith  Many of our leaders come from within the Church family of which the Company is a part and see the work within BB as a practical expression of their Christian witness  Volunteers work across a variety of different roles within the Company  most directly supporting children and young people  with others working behind the scenes  Our leaders have access to a range of training modules to equip them to work effectively with children and young people  Local support networks exist to provide opportunities for volunteers to meet together and share  National and Regional Headquarters also exist to provide advice and support to local groups as well as ensuring provision of safe and robust recruitment procedures and practical measures such as insurance  programmes and resources  PARTNERING CHURCHES   COMMUNITIES For over 130 years The Boys  Brigade has partnered local churches to work with children and young people  sharing the gospel and encouraging the development of a personal Christian faith  Today we work with over 1400 churches of all denominations that use our programmes and resources to reach out to over 50 000 children and young people each week  For many churches  The Boys  Brigade provides a bridge into communities that they otherwise might find difficult to access  And remember through The Boys  Brigade churches have opportunities to reach out to families with whom they would otherwise have no contact    sector5
Futura,The University of Wisconsin La Crosse provides a challenging  dynamic  and diverse learning environment in which the entire university community is fully engaged in supporting student success  Grounded in the liberal arts  UWL fosters curiosity and life long learning through collaboration  innovation  and the discovery and dissemination of new knowledge  Acknowledging and respecting the contributions of all  UWL is a regional academic and cultural center that prepares students to take their place in a constantly changing world community  The university offers undergraduate programs and degrees in the arts and humanities  health and sciences  education  and business administration  The university offers graduate programs related to areas of emphasis and strength within the institution  including business administration  education  health  the sciences  and the social sciences  Vision The University of Wisconsin La Crosse aims to foster within each student the curiosity  creativity  and tenacity necessary to solve the regional  national  and international challenges of the 21 st century  The university s official motto mens corpusque   mind and body   will continue to guide our direction as a student centered university committed to a quality education for the whole person   As such  it will continue to provide opportunities both inside and outside the classroom for the development of sound mental  emotional  and ethical skills  as well as general well being  Our students  faculty  and staff will experience the world through constantly evolving technologies and cultures  Thus  the skills of effective communication  critical thought  leadership  and an appreciation for diversity must be the hallmarks of a UWL education  Values Fassett Cotton  our institution s first leader  serving from 1909 1924  conceived the original University of Wisconsin La Crosse educational philosophy of the total development of the individual  Later  history professor and Dean of the College of Arts  Letters  and Sciences  William M  Laux  1922 1967   suggested the symbols of our official university seal along with the accompanying Latin phrase  mens corpusque    mind and body    to exemplify our collective commitment to a high quality education for the whole person  The University of Wisconsin La Crosse values  The mens corpusque educational philosophy that recognizes each student as a whole person and aspires to enhance both mind and body through the noble search for knowledge  truth  and meaning central to a wide range of high quality learning experiences and scholarly pursuits  Diversity  equity  and the inclusion and engagement of all people in a safe campus climate that embraces and respects the innumerable different perspectives found within an increasingly integrated and culturally diverse global community   A high quality of life and work balance  incorporating best practices for shared governance and the acquisition and efficient management of resources  equitable compensation  general wellness  and social  environmental  and economic sustainability   Civic engagement and a renewed commitment to the Wisconsin Idea   in which our socially responsible campus serves as a resource for our increasingly intertwined local  state  and global communities  collaborating and sharing resources and expertise to improve the human condition      sector5
Futura,AADE is a multi disciplinary professional membership organization dedicated to improving diabetes care through innovative education  management and support  With more than 14 000 professional members including nurses  dietitians  pharmacists  exercise specialists  and others  AADE has a vast network of practitioners working with people who have  are affected by or are at risk for diabetes  Our Mission Empower diabetes educators to expand the horizons of innovative education  management and support Our Vision Optimal health and quality of life for persons with  affected by or at risk for diabetes and chronic conditions  sector5
Futura,invest  thrive  prosper  sector4
Futura,teamwork  respect  enjoyment  discipline and sportsmanship sector3
Futura,Comprehensive Approach  We integrate activities in emergency nutrition  longer term food security  and water  sanitation   hygiene  To tackle the underlying causes of hunger  we address a range of social  organizational  technical  and resource concerns essential to a community s well being  Lasting Solutions  We work to ensure that our programs can be sustained without us  By integrating our programs with local and national systems  we transform effective  short term interventions into sustainable  long term solutions  Community Centered  A community centered approach is central to building local capacity to manage and maintain our programs  Through training  technical workshops  and mentoring  Action Against Hunger builds local capacity and cultivates community know how  Independent   Impartial  As a humanitarian agency we are apolitical  But when it comes to human suffering  we are not neutral  We strive to deliver effective humanitarian assistance wherever it s most needed  Full Accountability   Transparency  We directly oversee the implementation of our programs  requiring full access to the communities we assist  We are committed to a policy of transparency and disclosure by ensuring that key financial information is publicly available and that our programs undergo external impact evaluations  Efficient   Cost Effective  We consistently receive top marks from rating agencies like the Better Business Bureau s Wise Giving Alliance  Charity Navigator  their highest 4 star rating   the American Institute for Philanthropy  an  A  rating   the Independent Charities of America  as a  Best in America  nonprofit   and Guidestar    sector5
Futura,Respect   We act with consideration for others  ideas and share information openly to inspire trust and encourage collaboration  Integrity   No one individual  no one deal  no one client  is bigger than our commitment to our company and what we stand for   Service  We approach our clients  challenges with enthusiasm and diligence  building long term relationships by connecting the right people  capital and opportunities  Excellence We focus relentlessly on creating winning outcomes for our clients  employees and shareholders   sector5
